zpid,street_address,city,zipcode,county,neighborhoodregion,listingurl,home_type,home_status,latitude,longitude,isincomerestricted,isundisclosedaddress,rentzestimate,gougingrule,tenpercentbaseprice,basepricedate,fair_market_rent,priceceiling,emergencypeakprice,peakpricedate,peakpriceincrease,currentprice,wasevergouged,peak_price_relative_to_fmr,current_price_relative_to_fmr
20796994,1100 Alta Loma Rd APT 1602,West Hollywood,90069,Los Angeles County,,https://www.zillow.com/homedetails/20796994_zpid/,Condo,FOR_RENT,34.09107,-118.377335,,FALSE,4967,fmr,0,,3660,5856,13500,45672,0,13500,TRUE,3.68852459,3.68852459
2091728114,1286 W Capitol Dr #K-104,San Pedro,90732,Los Angeles County,San Pedro,https://www.zillow.com/homedetails/2091728114_zpid/,Apartment,FOR_RENT,33.755264,-118.30641,,FALSE,3916,tenpercent,3525,45330,4590,3877.5,4319,45705,0.225248227,4319,TRUE,0.940958606,0.940958606
443870540,(Undisclosed Address),Los Angeles,90005,Los Angeles County,Koreatown,https://www.zillow.com/homedetails/443870540_zpid/,Apartment,FOR_RENT,,,,TRUE,,fmr,0,,2170,3472,3950,45666,0,3950,TRUE,1.820276498,1.820276498
443872022,(Undisclosed Address),Los Angeles,90005,Los Angeles County,Koreatown,https://www.zillow.com/homedetails/443872022_zpid/,Apartment,FOR_RENT,,,,TRUE,,fmr,0,,2170,3472,4500,45666,0,4500,TRUE,2.073732719,2.073732719
443872856,(Undisclosed Address),Los Angeles,90005,Los Angeles County,Koreatown,https://www.zillow.com/homedetails/443872856_zpid/,Apartment,FOR_RENT,,,,TRUE,,fmr,0,,2740,4384,5250,45666,0,5250,TRUE,1.916058394,1.916058394
443870018,(Undisclosed Address),Los Angeles,90005,Los Angeles County,Koreatown,https://www.zillow.com/homedetails/443870018_zpid/,Apartment,FOR_RENT,,,,TRUE,,fmr,0,,2170,3472,4250,45666,0,4250,TRUE,1.958525346,1.958525346
20516211,8740 Rosewood Ave,West Hollywood,90048,Los Angeles County,West Hollywood West,https://www.zillow.com/homedetails/20516211_zpid/,Condo,FOR_RENT,34.077988,-118.38273,,FALSE,7824,fmr,0,,3480,5568,6500,45681,0,6500,TRUE,1.867816092,1.867816092
54667138,143 Manhattan Ave,Hermosa Beach,90254,Los Angeles County,,https://www.zillow.com/homedetails/54667138_zpid/,Townhouse,FOR_RENT,33.854454,-118.39724,,FALSE,5960,fmr,0,,4850,7760,8500,45670,0,8500,TRUE,1.75257732,1.75257732
2056259359,917 S Berendo St #401,Los Angeles,90006,Los Angeles County,Koreatown,https://www.zillow.com/homedetails/2056259359_zpid/,Condo,FOR_RENT,34.055225,-118.29443,,FALSE,3697,tenpercent,3200,45603,2290,3520,5400,45668,0.6875,4500,TRUE,2.358078603,1.965065502
20776175,6252 Drexel Ave,Los Angeles,90048,Los Angeles County,Mid City West,https://www.zillow.com/homedetails/20776175_zpid/,SingleFamily,FOR_RENT,34.068188,-118.36328,,FALSE,16689,fmr,0,,4900,7840,21000,45681,0,21000,TRUE,4.285714286,4.285714286
20603993,1126 Magnolia Ave,Los Angeles,90006,Los Angeles County,Koreatown,https://www.zillow.com/homedetails/20603993_zpid/,Apartment,FOR_RENT,34.049984,-118.2862,,FALSE,2954,fmr,0,,3240,5184,7000,45671,0,7000,TRUE,2.160493827,2.160493827
20605082,1151 S Ardmore Ave,Los Angeles,90006,Los Angeles County,Koreatown,https://www.zillow.com/homedetails/20605082_zpid/,Apartment,FOR_RENT,34.049324,-118.302376,,FALSE,3475,fmr,0,,3240,5184,8000,45668,0,7500,TRUE,2.469135802,2.314814815
2080943210,11965 Montana Ave APT 511,Los Angeles,90049,Los Angeles County,Brentwood,https://www.zillow.com/homedetails/2080943210_zpid/,Apartment,FOR_RENT,34.051258,-118.47191,,FALSE,4293,fmr,0,,3940,6304,10000,45686,0,10000,TRUE,2.538071066,2.538071066
443839389,1206 Magnolia Ave,Los Angeles,90006,Los Angeles County,Koreatown,https://www.zillow.com/homedetails/443839389_zpid/,Apartment,FOR_RENT,34.048923,-118.286545,,FALSE,,fmr,0,,3726,5961.6,6000,45665,0,6000,TRUE,1.610305958,1.610305958
439637632,917 S Berendo St #402,Los Angeles,90006,Los Angeles County,Koreatown,https://www.zillow.com/homedetails/439637632_zpid/,Condo,FOR_RENT,34.055225,-118.29443,,FALSE,,tenpercent,2350,45586,1810,2585,4900,45667,1.085106383,2850,TRUE,2.70718232,1.574585635
2070984862,777 E Ocean Blvd #3304,Long Beach,90802,Los Angeles County,East Village,https://www.zillow.com/homedetails/2070984862_zpid/,Apartment,FOR_RENT,33.76668,-118.18329,,FALSE,3564,fmr,0,,2680,4288,10278,45705,0,10278,TRUE,3.835074627,3.835074627
20574898,4305 Garthwaite Ave,Los Angeles,90008,Los Angeles County,Leimert Park,https://www.zillow.com/homedetails/20574898_zpid/,Condo,FOR_RENT,34.005627,-118.328186,,FALSE,2490,tenpercent,2400,45646,2290,2640,2950,45665,0.229166667,2950,TRUE,1.288209607,1.288209607
2077346406,2549 S Sepulveda Blvd APT 2,Los Angeles,90064,Los Angeles County,Cheviot Hills,https://www.zillow.com/homedetails/2077346406_zpid/,Apartment,FOR_RENT,34.033848,-118.43355,,FALSE,3868,tenpercent,2480,44167,3690,2728,3150,45682,0.27016129,3150,TRUE,0.853658537,0.853658537
20622860,2016 Trinity St,Los Angeles,90011,Los Angeles County,Central City,https://www.zillow.com/homedetails/20622860_zpid/,SingleFamily,FOR_RENT,34.027203,-118.260086,,FALSE,3636,tenpercent,3500,45452,2940,3850,5000,45671,0.428571429,4800,TRUE,1.700680272,1.632653061
20760611,4321 Glenalbyn Dr,Los Angeles,90065,Los Angeles County,Mount Washington,https://www.zillow.com/homedetails/20760611_zpid/,SingleFamily,FOR_RENT,34.096687,-118.20986,,FALSE,7351,fmr,0,,3050,4880,7000,45682,0,7000,TRUE,2.295081967,2.295081967
20448509,12616 Pacific Ave APT 1,Los Angeles,90066,Los Angeles County,Mar Vista,https://www.zillow.com/homedetails/20448509_zpid/,Townhouse,FOR_RENT,34.000633,-118.436325,,FALSE,3983,fmr,0,,3130,5008,7500,45681,0,7500,TRUE,2.396166134,2.396166134
20458561,3272 Inglewood Blvd,Los Angeles,90066,Los Angeles County,Mar Vista,https://www.zillow.com/homedetails/20458561_zpid/,SingleFamily,FOR_RENT,34.016636,-118.43685,,FALSE,8123,fmr,0,,3980,6368,11900,45682,0,11900,TRUE,2.989949749,2.989949749
20783405,859 N Mansfield Ave,Los Angeles,90038,Los Angeles County,Hollywood,https://www.zillow.com/homedetails/20783405_zpid/,Apartment,FOR_RENT,34.086933,-118.340904,,FALSE,4120,fmr,0,,2910,4656,6500,45670,0,6500,TRUE,2.233676976,2.233676976
20783476,833 N Cherokee Ave,Los Angeles,90038,Los Angeles County,Hollywood,https://www.zillow.com/homedetails/20783476_zpid/,SingleFamily,FOR_RENT,34.08627,-118.33545,,FALSE,14051,fmr,0,,4715,7544,19995,45665,0,19995,TRUE,4.240721103,4.240721103
2104238752,629 Traction Ave,Los Angeles,90013,Los Angeles County,Central City East,https://www.zillow.com/homedetails/2104238752_zpid/,Apartment,FOR_RENT,34.04615,-118.23675,,FALSE,4300,tenpercent,3500,45353,3700,3850,4900,45665,0.4,4900,TRUE,1.324324324,1.324324324
79799157,530 Molino St APT 214,Los Angeles,90013,Los Angeles County,Central City East,https://www.zillow.com/homedetails/79799157_zpid/,Condo,FOR_RENT,34.04076,-118.23342,,FALSE,3886,fmr,0,,2310,3696,4750,45667,0,4750,TRUE,2.056277056,2.056277056
401881729,640 San Julian St #28,Los Angeles,90014,Los Angeles County,Downtown,https://www.zillow.com/homedetails/401881729_zpid/,Apartment,FOR_RENT,34.041695,-118.246704,,FALSE,,tenpercent,1500,45646,2510,1650,1800,45724,0.2,1800,TRUE,0.717131474,0.717131474
20841573,(Undisclosed Address),Glendale,91206,Los Angeles County,Chevy Chase,https://www.zillow.com/homedetails/20841573_zpid/,SingleFamily,FOR_RENT,,,,TRUE,7697,fmr,0,,3900,6240,9800,45709,0,9800,TRUE,2.512820513,2.512820513
20805387,3447 Primera Ave,Los Angeles,90068,Los Angeles County,Hollywood Hills,https://www.zillow.com/homedetails/20805387_zpid/,SingleFamily,FOR_RENT,34.133717,-118.342896,,FALSE,3899,tenpercent,3500,44877,2620,3850,4000,45681,0.142857143,4000,TRUE,1.526717557,1.526717557
20594175,2955 Vineyard Ave,Los Angeles,90016,Los Angeles County,West Adams,https://www.zillow.com/homedetails/20594175_zpid/,SingleFamily,FOR_RENT,34.02836,-118.34696,,FALSE,4857,fmr,0,,3020,4832,6000,45672,0,6000,TRUE,1.986754967,1.986754967
